Contractor,Projects,AvgDelayInDays,TotalSavings,TotalCost,ReliabilityScore,IsHighRisk
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),99,294,"57,784,287.18","7,461,429,841.11",-1.76,YES
"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",43,345,"21,131,666.41","5,571,167,253.77",-1.07,YES
QM BUILDERS,75,234,"2,912,517.20","5,561,648,399.87",-0.08,YES
ST. TIMOTHY CONSTRUCTION CORPORATION,77,276,"64,637,489.11","4,781,019,339.35",-2.79,YES
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,74,290,"59,801,925.17","4,665,741,721.01",-2.85,YES
HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,48,265,"49,374,197.45","3,645,407,914.48",-2.63,YES
"L.R. TIQUI BUILDERS, INC.",41,330,"36,279,749.11","3,516,058,642.15",-2.75,YES
ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,35,254,"41,683,537.07","3,124,038,144.17",-2.43,YES
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,46,299,"309,710,972.14","3,063,654,299.11",-23.48,YES
"M. MONTESCLAROS ENTERPRISES, INC.",28,478,"73,121,350.67","3,048,143,528.58",-10.34,YES
"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",41,254,"53,588,020.70","2,903,046,039.10",-3.36,YES
MG SAMIDAN CONSTRUCTION,32,231,"2,557,448.69","2,831,491,351.49",-0.14,YES
STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),37,263,"56,999,181.49","2,817,068,077.87",-3.89,YES
BICOL GOLDROCK CONSTRUCTION CORPORATION,39,270,"10,375,390.61","2,803,568,829.10",-0.74,YES
GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,35,288,"9,678,954.23","2,773,389,887.49",-0.77,YES
